"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
70,2000.63388,2000.800546,"Y","15-49","MICS","MW",0.1622516556,0.3123039387,0.4745555943,NA,"","N","None","None","Y",0.007931914,0.013066091,NA,0.065014904,0.066635312,NA,2894
70,2006.367123,2006.520548,"Y","15-49","MICS","MW",0.1128308818,0.2442575232,0.357088405,NA,"","N","None","None","Y",0.008905269,0.016145836,NA,0.096961955,0.093590159,NA,2296
70,2011.832877,2012.245902,"Y","15-49","MICS","MW",0.1213809947,0.3387933083,0.4601743031,0.09,"","N","None","None","N",0.00866379,0.016170126,0.015785717,0.092701974,0.080439141,0.074781143,4990
72,1984.163934,1984.497268,"Y","15-49","Other","MW",0.186,0.007,0.193,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,826
72,1988.581967,1988.997268,"Y","15-49","DHS","MW",0.317,0.013,0.33,0.269,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1803
72,1996,1996,"Y","15-49","National survey","MW",0.4565423141,0.00696944667,0.4720554417,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,113
72,2000.39071,2000.579235,"Y","15-49","MICS","MW",0.421,0.023,0.444,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,1927
72,2007.665753,2008.081967,"Y","15-49","MICS","MW",NA,NA,0.697,0.096,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2951
72,2017.580822,2017.830137,"Y","15-49","National survey","MW",NA,NA,0.674,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7666
76,1986.328767,1986.663014,"Y","15-49","DHS","MW",0.565226841,0.09665105229,0.6618778933,0.128,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1869
76,1996.163934,1996.494536,"Y","15-49","DHS","MW",0.7027654811,0.06459063103,0.7673561122,0.1084937003,"","N","None","None","N",0.006788663,0.003613858,0.004164342,0.033630185,0.061979748,0.05204486,1868
